Gender,Age,City,Working Professional or Student,Profession,Work Pressure,Job Satisfaction,Sleep Duration,Dietary Habits,Degree,Have you ever had suicidal thoughts ?,Work/Study Hours,Financial Stress,Family History of Mental Illness,Depression
Female,49.0,Ludhiana,Working Professional,Chef,5.0,2.0,More than 8 hours,Healthy,BHM,No,1.0,2.0,No,0
Male,26.0,Varanasi,Working Professional,Teacher,4.0,3.0,Less than 5 hours,Unhealthy,LLB,Yes,7.0,3.0,No,1
Male,33.0,Visakhapatnam,Student,,,,5-6 hours,Healthy,B.Pharm,Yes,3.0,1.0,No,1
Male,22.0,Mumbai,Working Professional,Teacher,5.0,1.0,Less than 5 hours,Moderate,BBA,Yes,10.0,1.0,Yes,1
Female,30.0,Kanpur,Working Professional,Business Analyst,1.0,1.0,5-6 hours,Unhealthy,BBA,Yes,9.0,4.0,Yes,0
Female,59.0,Ahmedabad,Working Professional,Financial Analyst,2.0,5.0,5-6 hours,Healthy,MCA,No,7.0,5.0,No,0
Male,47.0,Thane,Working Professional,Chemist,5.0,2.0,7-8 hours,Moderate,MD,No,6.0,2.0,No,0
Male,38.0,Nashik,Working Professional,Teacher,3.0,4.0,7-8 hours,Unhealthy,B.Pharm,No,10.0,3.0,Yes,0
Female,24.0,Bangalore,Student,,,,5-6 hours,Moderate,B.Sc,No,3.0,2.0,Yes,0
Female,42.0,Patna,Working Professional,Electrician,4.0,1.0,5-6 hours,Healthy,M.Tech,Yes,7.0,2.0,Yes,0
Male,55.0,Rajkot,Working Professional,Software Engineer,3.0,2.0,7-8 hours,Moderate,B.Sc,No,6.0,4.0,Yes,0
Female,51.0,Patna,Working Professional,Teacher,1.0,2.0,7-8 hours,Moderate,B.Arch,No,9.0,5.0,No,0
Male,39.0,Jaipur,Working Professional,Data Scientist,2.0,5.0,More than 8 hours,Moderate,BCA,Yes,1.0,3.0,No,0
Female,29.0,Pune,Working Professional,Chef,4.0,4.0,7-8 hours,Unhealthy,BHM,No,6.0,5.0,Yes,0
Male,50.0,Thane,Working Professional,Plumber,1.0,1.0,More than 8 hours,Moderate,BE,Yes,8.0,5.0,Yes,0
